,Alt/Cri ,F1,MCC,Cohen Kappa,Precision(Macro),Hamming Loss,Recall(Macro),Accuracy,Ranking
0,Decision_Tree_breast_cancer_FOLD0,0.944788732394,0.889806873654,0.889589905363,0.942204301075,0.0510204081633,0.947619047619,0.948979591837,26
1,MLP_breast_cancer_FOLD4,0.977357609711,0.954715219421,0.954715219421,0.977357609711,0.020618556701,0.977357609711,0.979381443299,14
2,SVM_breast_cancer_FOLD0,0.966873239437,0.933981682984,0.933753943218,0.964157706093,0.030612244898,0.969841269841,0.969387755102,1
3,GaussianNB_breast_cancer_FOLD4,0.977649769585,0.95627510745,0.955320128973,0.972222222222,0.020618556701,0.984126984127,0.979381443299,18
4,KNN_breast_cancer_FOLD1,0.944788732394,0.889806873654,0.889589905363,0.942204301075,0.0510204081633,0.947619047619,0.948979591837,24
5,SVM_breast_cancer_FOLD4,0.988753623188,0.977757163254,0.97750985393,0.985714285714,0.0103092783505,0.992063492063,0.989690721649,2
6,GaussianNB_breast_cancer_FOLD1,0.944788732394,0.889806873654,0.889589905363,0.942204301075,0.0510204081633,0.947619047619,0.948979591837,21
7,MLP_breast_cancer_FOLD0,0.955555555556,0.911111111111,0.911111111111,0.955555555556,0.0408163265306,0.955555555556,0.959183673469,7
8,LR_breast_cancer_FOLD1,0.956093189964,0.913105487051,0.912225705329,0.951262738148,0.0408163265306,0.961904761905,0.959183673469,10
9,Decision_Tree_breast_cancer_FOLD4,0.955299539171,0.911550572531,0.910640257946,0.950136612022,0.0412371134021,0.961484593838,0.958762886598,25
10,KNN_breast_cancer_FOLD2,0.955555555556,0.911111111111,0.911111111111,0.955555555556,0.0408163265306,0.955555555556,0.959183673469,22
11,Decision_Tree_breast_cancer_FOLD3,0.892543859649,0.792496787189,0.785932721713,0.884895164741,0.102040816327,0.907936507937,0.897959183673,28
12,GaussianNB_breast_cancer_FOLD0,0.966873239437,0.933981682984,0.933753943218,0.964157706093,0.030612244898,0.969841269841,0.969387755102,11
13,LR_breast_cancer_FOLD2,0.944083076572,0.888401112082,0.888178913738,0.947150735294,0.0510204081633,0.94126984127,0.948979591837,17
14,GaussianNB_breast_cancer_FOLD3,0.934869295525,0.873256352678,0.869969040248,0.927422859626,0.0612244897959,0.946031746032,0.938775510204,23
15,SVM_breast_cancer_FOLD3,0.956093189964,0.913105487051,0.912225705329,0.951262738148,0.0408163265306,0.961904761905,0.959183673469,9
16,Decision_Tree_breast_cancer_FOLD1,0.86973859105,0.742734050854,0.739938080495,0.863537592351,0.122448979592,0.879365079365,0.877551020408,29
17,MLP_breast_cancer_FOLD1,0.95657953035,0.916763786619,0.913312693498,0.948717948718,0.0408163265306,0.968253968254,0.959183673469,7
18,KNN_breast_cancer_FOLD4,0.988753623188,0.977757163254,0.97750985393,0.985714285714,0.0103092783505,0.992063492063,0.989690721649,13
19,Decision_Tree_breast_cancer_FOLD2,0.934869295525,0.873256352678,0.869969040248,0.927422859626,0.0612244897959,0.946031746032,0.938775510204,27
20,LR_breast_cancer_FOLD4,0.988753623188,0.977757163254,0.97750985393,0.985714285714,0.0103092783505,0.992063492063,0.989690721649,3
21,LR_breast_cancer_FOLD0,0.966873239437,0.933981682984,0.933753943218,0.964157706093,0.030612244898,0.969841269841,0.969387755102,5
22,MLP_breast_cancer_FOLD2,0.944083076572,0.888401112082,0.888178913738,0.947150735294,0.0510204081633,0.94126984127,0.948979591837,15
23,SVM_breast_cancer_FOLD1,0.956093189964,0.913105487051,0.912225705329,0.951262738148,0.0408163265306,0.961904761905,0.959183673469,6
24,GaussianNB_breast_cancer_FOLD2,0.945428221406,0.892878473708,0.890965732087,0.939035087719,0.0510204081633,0.953968253968,0.948979591837,19
25,KNN_breast_cancer_FOLD3,0.966873239437,0.933981682984,0.933753943218,0.964157706093,0.030612244898,0.969841269841,0.969387755102,20
26,MLP_breast_cancer_FOLD3,0.945428221406,0.892878473708,0.890965732087,0.939035087719,0.0510204081633,0.953968253968,0.948979591837,11
27,KNN_breast_cancer_FOLD0,0.954963235294,0.910891250218,0.909967845659,0.961771561772,0.0408163265306,0.949206349206,0.959183673469,0
28,LR_breast_cancer_FOLD3,0.966873239437,0.933981682984,0.933753943218,0.964157706093,0.030612244898,0.969841269841,0.969387755102,4
29,SVM_breast_cancer_FOLD2,0.955555555556,0.911111111111,0.911111111111,0.955555555556,0.0408163265306,0.955555555556,0.959183673469,15
